"Project:","RFCx"
"Tool:","kicad"
"Number of Parts ","159"
" "," "
"Reference","Quantity","Value","Package","Distributor","Distributor #"
"Q1","1","FDC638","RFCX:FDC-SOT-23-6","DigiKey","FDC638PCT-ND"
"C2,C4","2","10pF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","709-1168-1-ND "
"C3,C1,C7,C19,C18,C17,C33,C38,C43","9","1uF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","1276-1275-1-ND"
"C5,C6,C31,C32,C36,C37,C41,C42","8","10uF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","587-1312-1-ND"
"C8,C34,C39,C44","4","22uF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","1276-1822-1-ND "
"C9,C35,C40,C45","4","1nF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","399-1147-1-ND"
"C10,C11,C12,C14,C13,C15,C30,C25,C46","9","0.1uF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","311-1245-1-ND"
"Q2,Q3","2","FZT788B","SMD_Packages:SOT-223","DigiKey","FZT788BCT-ND"
"C16","1","22uF Tant","Capacitors_SMD:C_0805_HandSoldering","DigiKey","511-1506-1-ND"
"C20","1","39pF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","1276-1769-1-ND"
"C21","1","68uF Tant","Capacitors_SMD:C_0805_HandSoldering","DigiKey","478-8414-1-ND"
"C27","1","4.7uF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","1276-1065-1-ND"
"C26,C24","2","100nF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","311-1245-1-ND"
"C23,C22","2","47pF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","1276-1832-1-ND"
"C29,C28","2","1uF","RFCX:X2Y","DigiKey","709-1108-1-ND"
"C48","1","0.1","Capacitors_SMD:C_0805_HandSoldering","DigiKey","311-1245-1-ND"
"C47","1","0.22uF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","587-1287-1-ND"
"R5,R6","2","0.01,1W","Resistors_SMD:R_2010_HandSoldering","DigiKey","RHM.010ASCT-ND"
"R7,R8,R23,R24,R60,R62,R64,R63,R61,R59","10","10k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P10KACT-ND"
"R1,R2,R3,R4","4","0.025, 1W","Resistors_SMD:R_2010_HandSoldering","DigiKey","RHM.010ASCT-ND"
"R65,R66,R10,R11,R9,R31,R32,R42,R43,R41,R48,R49,R47,R54,R55,R53","16","1k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P1.0KACT-ND "
"R12,R44,R50,R56","4","27.78, 1W","Resistors_SMD:R_2010_HandSoldering","DigiKey","RHM.010ASCT-ND"
"R13,R45,R51,R57","4","2.32M","Resistors_SMD:R_0805_HandSoldering","DigiKey","P6.65KCCT-ND"
"R14,R46,R52,R58","4","845k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P2.10KCCT-ND "
"R15,R17","2","1540","Resistors_SMD:R_0805_HandSoldering","DigiKey","P1.54KCCT-ND"
"R16,R18","2","2100","Resistors_SMD:R_0805_HandSoldering","DigiKey","P2.10KCCT-ND"
"R21","1","2550","Resistors_SMD:R_0805_HandSoldering","DigiKey","311-2.55KCRCT-ND"
"R19,R20,R33","3","200k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P200KACT-ND"
"R22","1","Res","Resistors_SMD:R_0805_HandSoldering","DigiKey","311-2.55KCRCT-ND"
"R25,R26","2","0.2, 1W","Resistors_SMD:R_2010_HandSoldering","DigiKey","989-1049-1-ND"
"R29,R30,R36","3","49.9k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P49.9KCCT-ND"
"R27,R28","2","5k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P4.99KCCT-ND "
"R34","1","49.9","Resistors_SMD:R_0805_HandSoldering","DigiKey","P49.9KCCT-ND"
"R35","1","150k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P150KCCT-ND"
"R39,R40","2","730","Resistors_SMD:R_0805_HandSoldering","DigiKey","P732CCT-ND"
"R38,R37","2","27","Resistors_SMD:R_0805_HandSoldering","DigiKey","P27ACT-ND"
"X1","1","32kHz","RFCX:SOJ-4","DigiKey","300-8744-1-ND"
"L1,L3,L4,L5","4","27uH","RFCX:Ind_12_5x12_5","DigiKey","SRR1260-270MCT-ND"
"L2","1","6.8uH","RFCX:Ind_6x6","DigiKey","SRN6045-6R8YCT-ND "
"H1","1","Heatsink","RFCX:HeatSink","DigiKey","NA"
"D1","1","1N5819","Diodes_SMD:SOD-123","DigiKey","1N5819HW-FDICT-ND"
"D2,D3,D4,D5,D8,D9,D10","7","Diode-Shottky","Diodes_SMD:SOD-123","DigiKey","1N5819HW-FDICT-ND"
